RESISTORS (1/4 watt)
| QTY | VALUE |
| 1 | 390 ohm |https://robu.in/product/mf25-390r-multicomp-pro-through-hole-resistor-390-ohm-mf25-series-250-mw-±-1-axial-leaded-250-v/
| 1 | 4K7 |https://robu.in/product/mf25-4k7-multicomp-pro-through-hole-resistor-4-7-kohm-250-mw-±-1-axial-leaded-250-v/
| 1 | 10K |https://robu.in/product/mf25-10k-multicomp-pro-through-hole-resistor-10-kohm-250-mw-±-1-axial-leaded-250-v/
| 1 | 43K |https://robu.in/product/mf25-43k-multicomp-pro-through-hole-resistor-43-kohm-mf25-series-250-mw-±-1-axial-leaded-250-v/
| 1 | 430K |https://robu.in/product/mf25-430k-multicomp-pro-through-hole-resistor-430-kohm-mf25-series-250-mw-±-1-axial-leaded-250-v/


CAPACITORS
| QTY | VALUE |
| 2 | 0.1 UF (100nF) |https://robu.in/product/100nf-50v-disc-capacitor/


TRANSISTORS
| QTY | Part # |
| 1 | 2N5088 | https://robu.in/product/2n3904-tarange200-300-jcet-40v-625mw-10010ma1v-200ma-npn-to-92-2-54mm-bipolar-bjt-rohs/


DIODES
| QTY | Part # |
| 1 | 1N5817 |https://robu.in/product/1n5817-t-diodes-incorporated-20v-750mv3a-1a-do-41-schottky-diodes-rohs/
| 1 | 5mm LED (color of choice) | https://robu.in/product/tj-l5fytghrmfcsflc2r-a5-togialed-20ma-foggy-red-lens-20℃80℃-red-45-5mm-round-lamp-head-plugind5mm-led-indication-discrete-rohs/

POTENTIOMETERS
| QTY | VALUE |
| 1 | A100K | https://robu.in/product/p160knp-0qc20a100k-tt-electronics-bi-technologies/

SWITCHES
1 | 3DPDT footswitch https://robu.in/product/pbs-24-302-latching-push-button-switch-9pin/

JACKS
2 | 1/4" Mono Audio Jack https://robu.in/product/1-month-warranty-179/
1 | 9 volt power jack (center negative) https://robu.in/product/dc-jack-022/
